TEXT,actual_label,predicted_label,is_correct
naturally busty helen . . fickle the eyes speak as much as the mouth a fool finds no pleasure in understanding but delights in airing his own opinions . work is the curse of the drinking classes a problem is a chance for you to do your best . these girls like getting fucked in the pussy . . . but they like getting fucked in the asshole even better . . . and we all love watching it ! rectal reamings and ass invasions uncensored and explicit inside ! split ! sexy sluts who love to get cocks deep in their ass ! welcome : http : / / www . jizz 395 . biz / qal 2 ws - 3 ed 4 rf / asl _ snd / every picture tells a story all lay loads on a willing horse ! a deaf husband and a blind wife are always a happy couple . never murder a man who is committing suicide the grass is always greener on the other side of the fence a scalded cat fears cold water . a chat has nine lives . . people living in glass houses should not ! . ,not_spam,not_spam,True
"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx",not_spam,not_spam,True
Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?,not_spam,not_spam,True
"sear robin revisions effective 6 / 10 / 00 ( sea robin p / l ) - - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 06 / 09 / 2000 10 : 36 am - - - - - - - - - - - - - - - - - - - - - - - - - - - "" steve holmes "" on 06 / 09 / 2000 10 : 33 : 58 am to : , cc : subject : sear robin revisions effective 6 / 10 / 00 ( sea robin p / l ) attached are the 11 changes to meters where a pvr is taken out for processing . as we discussed this morning , the sea robin plant will be shut down monday , june 12 , 2000 at 9 : 00 a . m . to repair the "" o "" ring in the turbine . the previously scheduled sea robin plant maintenance ( the week of june 19 th ) will be performed the week of the 12 th while the repairs are made to the turbine . please let me know of any questions you may have . thanks , steve - ei 305 reveffo 61000 # 2 . xls - ei 330 areveffo 61000 . xls - ei 330 breveffo 61000 . xls - ei 330 creveffo 61000 . xls - ei 333 reveffo 61000 . xls - ei 337 reveffo 61000 . xls - smi 23 reveffo 61000 # 2 . xls - smi 41 reveffo 61000 . xls - smil 28 reveffo 61000 . xls - wc 560 reveffo 61000 . xls - wc 580 reveffo 61000 . xls",not_spam,not_spam,True
"real teens love make sex ( tons of video ) beautiful teen girls , erotic angels , sweet european girls , nasty blowjobs , vivid face cumshots , teen defloration , rough throat fuck , hot college lesbians , deep anal sex , coeds group hardcore and more ! only fresh and exclusive teen photo and video content at teen mega portal ! all inside ! remove your email",promotion,promotion,True
Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up,not_spam,not_spam,True
Thanks love. But am i doing torch or bold.,not_spam,not_spam,True
"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\""""",not_spam,not_spam,True
If you're not in my car in an hour and a half I'm going apeshit,not_spam,not_spam,True
"Sorry, I'll call later In meeting.",not_spam,not_spam,True
Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends,lottery,lottery,True
That's cause your old. I live to be high.,not_spam,not_spam,True
"re : here comes your rx if you check our inventory list , you will find allegra , brufen retard , carisoprodol , diazepam , lipitor and xanax . you will be amazed by the price as well . if getting darvon with one rx become a pa - in for your pa _ in , there could be another method you could try . http : / / a . vao . throughput 9067 pil 1 . us / f 74 m / the process of losing weight is such a terrifying work . there should really be awards for the people who have lost the extra fat in a short time . seeing the boy ' s back turned , he seized a long iron bar that was used to operate the telescope , and struck at rob so fiercely that had he not worn the garment of protection his skull would have been crushed by the blowat it was , the bar rebounded with a force that sent the murderous frenchman sprawling upon the roof , and rob turned around and laughed at him - - - - - original message - - - - - from : erich richardson [ mailto : bhiukvg @ yph . com ] to : gregg kerk ; renaldo testen ; cory nestel sent : thursday , november , 2004 9 : 50 pm subject : here comes your rx the types of infections addressed by included studies - severe infections acquired in the hospital or pneumonia acquired in intensive care units - suggest that further infections were caused by this pathogen arrimador 10 cujara 32 celti ` berodespancijarberiberi ",not_spam,not_spam,True
Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx,not_spam,not_spam,True
Good morning pookie pie! Lol hope I didn't wake u up,not_spam,not_spam,True
"valium ( and 300 other drugs ) shipped overnight cologne you can purchase hundreds of medlcatlons onllne at savlngs we write the prescrlptlon . amblen vallum vlagra clalls prozac xanax soma phentermlne only us licensed pharmaclsts and physlcians are used making us your cholce for number one fda approved pharmacy . click for information ordering if you wish for email elimination , you can do so here . delia fisticuff cat campground begotten debenture arcadia kelvin mustn ' t armata eerie dendrite erode excavate nielson teammate valletta teal feel monetarism which marietta ragout goer orin cyanide dudley rout downing bonfire scrape too automatic zion architect nevertheless oriole suppressor buzzing clytemnestra ceramic blare neuron redmond francine dredge honeywell newt autonomous proletariat gleason dorado quixotic corvallis gunflint paradise swelt inferential warmonger slurp acrobat bolshevist employer frustrate luis olivia manpower payoff cede flop hollister obscure beige vendetta chicago pike alcoa clamshell buttonhole wrongdo bedimming oakwood lead gallivant toffee bizarre amity sever diorama pharmacopoeia coleus cossack purloin b cauliflower horror bundestag crete dung coexistent pit haberman chilean pliancy everybody gape stepson tiffany midwestern proceed buff rune gunny cite ape alginate appraisal air headstrong chaplin serpent debate wallow jinx ally nietzsche controversial frazier consecrate seduce treasonous heliocentric minestrone cloy contradict fire newell therein devisee column urchin wit declaratory glamorous bright exaltation yost marinate corollary spite flux avalanche ferruginous papua schoolgirlish flabbergast bracken avow somali squat drain systematic telescope lice depreciable casework asymmetry cloak neap camelopard afoul orr dutch ",not_spam,not_spam,True
 the only solution to penis enlargement limited time offer : increase atleast 3 inches or get your money back - - - - > click here and learn more ! no thanks ,promotion,promotion,True
"Yun ah.the ubi one say if �_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.̬n",not_spam,not_spam,True
"re : mobil beaumont the activity for mobil florida mobil street { mtr . 1040 } during august 28 th & 29 th are as follows : nomination actual flow 8 / 28 th = 105 , 000 mmbtu 98 , 176 mmbtu 8 / 29 th = 90 , 000 mmbtu 99 , 020 mmbtu please let me know if further analysis is needed . from : lee l papayoti on 09 / 01 / 2000 01 : 38 pm to : rebecca griffin / na / enron @ enron cc : robert e lloyd / hou / ect @ ect , daren j farmer / hou / ect @ ect , pat clynes / corp / enron @ enron subject : mobil beaumont rebecca : i spoke with brian nichols about the august preliminary invoice . there appears to be a problem for august 28 & 29 - the volumes are much too low . either there were deliveries off of centana that we are missing , or there is a problem with the hpl data . i am having brain fade and cannot remember the name of the person in the measurement department to contact , so maybe you could look into this and have it corrected . thanks lee",financial,not_spam,False
"re : july spot tickets vance , the following deals have been created and entered in sitara . bob vance l taylor 06 / 27 / 2000 11 : 24 am to : robert cotten / hou / ect @ ect cc : lisa hesse / hou / ect @ ect , heidi withers / hou / ect @ ect , hillary mack / corp / enron @ enron , susan smith / hou / ect @ ect , melissa graves / hou / ect @ ect subject : july spot tickets bob , hplc will be purchasing wellhead gas from the producers listed below for the production month of july . this production will be purchased on a "" spot "" basis and deal tickets should be created and entered into sitara based on the following information : counterparty meter volume price sitara # whiting petroleum corp 6523 200 mmbtu / d 91 % if / hsc 314390 engage energy us , lp 5923 657 mmbtu / d 100 % if / hsc less $ 0 . 24 314399 engage energy us , lp 5848 117 mmbtu / d 100 % if / hsc less $ 0 . 24 314408 swift energy 2630 21 mmbtu / d 90 % if / hsc less $ 0 . 258 314414 additionally , this are producer svcs . deals and should be tracked in the im wellhead portfolio . . . attached to the gathering contract . thanks , vlt x 3 - 6353",promotion,promotion,True
oor Step Service for Passport Assistance/PAN Card/Income Tax Return/VAT Return/Service Tax Return Contact M/s ONS 9650669988 Jwala Heri Mkt Paschim Viha,not_spam,not_spam,True
You are gorgeous! keep those pix cumming :) thank you!,not_spam,not_spam,True
Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u,not_spam,not_spam,True
